	chao1
I-KO-1	4.0
I-KO-2	16.5
I-KO-3	34.333333333333336
I-KO-4	6.0
I-KO-BAC	86.0
I-WT-1	9.0
I-WT-2	5.0
I-WT-3	4.0
I-WT-4	25.75
I-WT-BAC	115.15384615384616
II-KO-1	30.5
II-KO-2	25.0
II-KO-3	26.5
II-KO-BAC	53.0
II-KO-IL17-1	39.0
II-KO-IL17-2	47.333333333333336
II-KO-IL17-3	37.75
II-KO-IL17-4	44.0
II-KO-IL17-5	36.0
II-KO-IL17-6	42.5
II-WT-1	51.5
II-WT-2	41.5
II-WT-3	43.0
II-WT-BAC	108.25
IIIA-KO-1	30.5
IIIA-KO-2	95.0
IIIA-KO-3	10.0
IIIA-KO-BAC	102.9090909090909
IIIA-WT-1	30.0
IIIA-WT-2	35.0
IIIA-WT-3	47.0
IIIA-WT-BAC	109.5
IIIB-KO-1	51.0
IIIB-KO-2	47.0
IIIB-KO-3	72.0
IIIB-KO-4	35.5
IIIB-KO-BAC	85.1
IIIB-WT-1	43.5
IIIB-WT-2	75.85714285714286
IIIB-WT-3	45.5
IIIB-WT-BAC	120.0
