	faith_pd
I-KO-1	5.406701162434031
I-KO-2	6.817334729997256
I-KO-3	8.333099719165489
I-KO-4	5.713612739427252
I-KO-BAC	11.233136418044172
I-WT-1	6.04908102205221
I-WT-2	5.75349001706205
I-WT-3	5.209977504376861
I-WT-4	7.745406256822864
I-WT-BAC	11.709099914338253
II-KO-1	7.22455793191696
II-KO-2	7.452902212043972
II-KO-3	6.575299030319025
II-KO-BAC	9.384785736832452
II-KO-IL17-1	7.293803524827451
II-KO-IL17-2	7.527869331751122
II-KO-IL17-3	7.637177131740243
II-KO-IL17-4	7.081804793028384
II-KO-IL17-5	7.515509088614284
II-KO-IL17-6	8.609370102509727
II-WT-1	8.799485415523614
II-WT-2	7.678217444326169
II-WT-3	7.795752236331648
II-WT-BAC	12.214423699999433
IIIA-KO-1	6.988259336884452
IIIA-KO-2	9.585930911837675
IIIA-KO-3	5.411950997155695
IIIA-KO-BAC	11.347241308484236
IIIA-WT-1	7.133021693534472
IIIA-WT-2	7.436850575180895
IIIA-WT-3	8.117917866781223
IIIA-WT-BAC	12.108146543133667
IIIB-KO-1	9.4720949809062
IIIB-KO-2	9.010456974336922
IIIB-KO-3	10.631291942766639
IIIB-KO-4	7.266628298246111
IIIB-KO-BAC	9.942968555489758
IIIB-WT-1	8.027257260137164
IIIB-WT-2	10.44398003231035
IIIB-WT-3	8.94571519371223
IIIB-WT-BAC	11.517854738371877
